frame,face_id,x1,y1,x2,y2
151,0,230,265,292,343
151,1,440,172,498,254
151,2,635,103,698,196
151,3,19,102,101,193
152,0,232,265,290,342
152,1,440,169,497,253
152,2,636,102,700,194
152,3,23,104,105,194
153,0,232,264,291,339
153,1,440,167,496,250
153,2,637,103,703,193
153,3,26,105,109,196
154,0,440,160,496,245
154,1,233,263,289,336
154,2,639,101,703,189
154,3,30,105,110,195
155,0,438,158,493,239
155,1,232,260,289,334
155,2,640,100,702,186
155,3,32,105,112,194
156,0,437,155,492,238
156,1,233,260,289,332
156,2,640,97,703,185
156,3,36,107,114,194
157,0,234,257,290,327
157,1,641,93,705,183
157,2,436,153,494,237
157,3,38,107,115,194
158,0,235,255,290,326
158,1,642,90,706,180
158,2,39,107,116,195
158,3,438,152,491,230
159,0,236,253,291,324
159,1,435,147,490,229
159,2,643,86,709,181
159,3,39,103,116,193
160,0,236,251,290,319
160,1,435,146,490,227
160,2,645,84,711,178
160,3,38,103,117,192
161,0,235,250,291,319
161,1,646,82,710,178
161,2,435,146,488,224
161,3,40,105,116,194
162,0,236,248,291,317
162,1,648,81,713,177
162,2,437,146,488,223
162,3,42,107,117,193
163,0,236,246,293,317
163,1,650,81,713,176
163,2,436,146,488,223
163,3,44,109,118,196
164,0,237,244,293,316
164,1,434,144,488,223
164,2,47,111,117,197
164,3,652,81,714,177
165,0,48,112,118,198
165,1,433,144,488,222
165,2,237,243,293,316
165,3,654,84,716,177
166,0,49,115,118,197
166,1,656,85,718,177
166,2,431,142,488,223
166,3,239,242,292,313
167,0,50,115,120,199
167,1,656,87,718,176
167,2,432,143,487,222
167,3,239,242,291,313
168,0,656,89,718,176
168,1,51,117,122,201
168,2,433,142,487,221
168,3,240,241,292,312
169,0,656,89,717,176
169,1,433,143,487,223
169,2,52,117,123,201
169,3,242,241,293,308
170,0,656,90,717,176
170,1,52,120,125,205
170,2,434,145,487,224
170,3,243,241,294,307
171,0,652,87,714,174
171,1,433,148,486,227
171,2,55,123,128,208
171,3,244,240,295,306
172,0,651,84,712,171
172,1,432,152,482,228
172,2,56,126,129,210
172,3,246,241,297,306
173,0,651,81,712,170
173,1,433,156,482,228
173,2,57,128,131,211
173,3,248,242,299,307
174,0,250,241,302,307
174,1,433,158,482,230
174,2,649,78,711,166
174,3,59,128,133,211
175,0,251,240,305,306
175,1,645,75,710,165
175,2,61,128,135,212
175,3,433,161,484,235
176,0,253,239,305,305
176,1,645,74,705,156
176,2,65,130,137,212
176,3,434,163,484,237
177,0,642,69,702,153
177,1,434,163,483,236
177,2,68,129,139,212
177,3,254,240,305,304
178,0,68,128,142,212
178,1,640,66,701,151
178,2,257,241,306,306
178,3,437,163,486,239
179,0,639,64,699,150
179,1,71,128,142,210
179,2,439,161,487,240
179,3,258,241,306,304
180,0,73,127,143,207
180,1,637,65,697,150
180,2,260,243,307,303
180,3,440,162,489,237
181,0,634,63,696,151
181,1,72,124,142,202
181,2,443,157,489,234
181,3,262,242,307,303
182,0,74,122,144,200
182,1,632,60,695,152
182,2,262,242,310,302
182,3,445,155,494,234
183,0,629,59,693,151
183,1,76,118,145,195
183,2,444,148,497,234
183,3,265,238,312,299
184,0,627,60,689,149
184,1,445,145,496,231
